,data_ucd,obs_description,hips_order,hips_order_min,moc_access_url,hips_frame,obs_superseded_by,obs_initial_fov,web_access_url,dataproduct_type,hips_release_date,tap_tablename,hips_status,vizier_popularity,publisher_id,tap_service_url,bib_reference,obs_collection,obs_initial_ra,obs_release_date,obs_copyright,publisher_did,obs_collection_label,hips_service_url,obs_label,obs_copyright_url,nb_rows,moc_type,obs_id,obs_initial_dec,moc_sky_fraction,moc_order,client_category,obs_regime,cs_service_url,sia_service_url,TIMESTAMP,obs_description_url,ID,obs_astronomy_kw,obs_title,hips_tile_format
10,"['meta.id', 'src.redshift', 'stat.probability', 'spect.line.width', 'phys.luminosity', 'phys.mass', 'phys.luminosity;arith.ratio', 'pos.eq.ra', 'pos.eq.dec']",SDSS color-selected quasars parameters   and black hole mass estimates,,,http://alasky.unistra.fr/footprints/tables/vizier/J_ApJ_699_800_sdss/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FApJ%2F699%2F800%2Fsdss&,catalog,,,,0.0,ivo://CDS,,2009ApJ...699..800V,LBQS,45.087890625,2011-07-21T09:26:31Z,,,LBQS,,sdss,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/ApJ/699/800,34.0,smoc,J/ApJ/699/800/sdss,0.5408861606795071,6.755e-07,11.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FApJ%2F699%2F800%2Fsdss&,,1652239343000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/ApJ/699/800,CDS/J/ApJ/699/800/sdss,"['Redshifts', 'Spectroscopy', 'QSOs']","Mass functions of active black holes (Vestergaard+, 2009) (sdss)",
11,"['phot.mag;em.opt.I', 'pos.eq.ra', 'pos.eq.dec', 'time.epoch', 'phot.mag;em.opt', 'phot.mag;em.opt.R', 'meta.id', 'phys.magAbs;em.opt.I', 'src.redshift', 'phys.mass', 'phys.luminosity', 'phys.absorption.gal;em.opt.U', 'phot.mag;em.opt.B']",All SDSS DR7 quasars with DPOSS observations,,,http://alasky.unistra.fr/footprints/tables/vizier/J_ApJ_753_106_sdssposs/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FApJ%2F753%2F106%2Fsdssposs&,catalog,,,,7.0,ivo://CDS,,2012ApJ...753..106M,,45.06591796875,2022-03-11T10:43:08Z,,,,,sdssposs,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/ApJ/753/106,81189.0,smoc,J/ApJ/753/106/sdssposs,0.14920792779581243,0.001606,11.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FApJ%2F753%2F106%2Fsdssposs&,,1653880942000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/ApJ/753/106,CDS/J/ApJ/753/106/sdssposs,"['QSOs', 'Photometry:wide-band']","Quasar variability with SDSS and POSS imaging (MacLeod+, 2012) (sdssposs)",
12,"['meta.id', 'pos.eq.ra', 'pos.eq.dec', 'src.redshift']",Revised S/Z catalog with annotations,,,http://alasky.unistra.fr/footprints/tables/vizier/J_ApJ_907_123_sdss_sz/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FApJ%2F907%2F123%2Fsdss_sz&,catalog,,,,2.0,ivo://CDS,,2021ApJ...907..123I,,45.087890625,2021-02-08T08:01:29Z,,,,,sdss_sz,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/ApJ/907/123,162516.0,smoc,J/ApJ/907/123/sdss_sz,0.13055690223541655,0.001437,11.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FApJ%2F907%2F123%2Fsdss_sz&,,1652239342000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/ApJ/907/123,CDS/J/ApJ/907/123/sdss_sz,"['Redshifts', 'Galaxies']","Spin Parity of Spiral Galaxies. III. (Iye+, 2021) (sdss_sz)",
13,"['pos.eq.ra', 'pos.eq.dec', 'src.redshift', 'src.morph.type', 'phys.magAbs', 'src.morph.param', 'phys.angSize;src']",Disc h for 30000 SDSS galaxies,,,http://alasky.unistra.fr/footprints/tables/vizier/J_MNRAS_406_1595_sdssh/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FMNRAS%2F406%2F1595%2Fsdssh&,catalog,,,,1.0,ivo://CDS,,2010MNRAS.406.1595F,,45.41748046875,2012-12-18T14:52:52Z,,,,,sdssh,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/MNRAS/406/1595,30000.0,smoc,J/MNRAS/406/1595/sdssh,0.4476278310304702,0.0005932,11.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FMNRAS%2F406%2F1595%2Fsdssh&,,1652239389000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/MNRAS/406/1595,CDS/J/MNRAS/406/1595/sdssh,"['Redshifts', 'Galaxies']","Scalelength of 30000 SDSS disc galaxies (Fathi+, 2010) (sdssh)",
14,"['meta.id', 'pos.eq.ra', 'pos.eq.dec', 'phot.mag;em.opt.U', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'time.epoch']","Available SDSS spectra of candidates, corrected version (gaia-sdss_white_dwarf_catalogue.dat)",,,http://alasky.unistra.fr/footprints/tables/vizier/J_MNRAS_482_4570_gaiasdss/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FMNRAS%2F482%2F4570%2Fgaiasdss&,catalog,,,,98.0,ivo://CDS,,2019MNRAS.482.4570G,,44.736328125,2019-02-01T13:26:45Z,,,,,gaiasdss,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/MNRAS/482/4570,37259.0,smoc,J/MNRAS/482/4570/gaiasdss,0.5035826706957132,0.0005652,11.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FMNRAS%2F482%2F4570%2Fgaiasdss&,,1655004176000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/MNRAS/482/4570,CDS/J/MNRAS/482/4570/gaiasdss,"['Parallaxes', 'Stars:white_dwarf', 'Photometry']","Gaia DR2 white dwarf candidates (Gentile Fusillo+, 2019) (gaiasdss)",
15,"['meta.id', 'pos.eq.ra', 'pos.eq.dec', 'pos.parallax', 'stat.fit.goodness', 'phot.mag;em.opt', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phys.temperature.effective', 'phys.gravity', 'phys.mass', 'stat.fit.chi2', 'phot.mag;em.opt.U', 'phot.mag;em.opt.I', 'pos.angDistance', 'time.epoch', 'src.class']",Gaia-SDSS spectroscopic sample,,,http://alasky.unistra.fr/footprints/tables/vizier/J_MNRAS_508_3877_sdssspec/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FMNRAS%2F508%2F3877%2Fsdssspec&,catalog,,,,128.0,ivo://CDS,,2021MNRAS.508.3877G,,45.10986328125,2021-11-24T13:46:22Z,,,,,sdssspec,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/MNRAS/508/3877,41818.0,smoc,J/MNRAS/508/3877/sdssspec,0.4476278310304702,0.0006377,11.0,,,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FMNRAS%2F508%2F3877%2Fsdssspec&,,1655123099000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/MNRAS/508/3877,CDS/J/MNRAS/508/3877/sdssspec,Stars:white_dwarf,"Catalogue of white dwarfs in Gaia EDR3 (Gentile+, 2021) (sdssspec)",
16,"['meta.id', 'time.epoch', 'pos.eq.ra', 'pos.eq.dec', 'phot.mag;em.opt', 'pos.pm;pos.eq.ra', 'pos.pm;pos.eq.dec', 'pos.angDistance', 'pos.posAng', 'phot.mag;arith.diff', 'stat.fit.param', 'instr.bandpass', 'phot.mag;em.opt.U', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'phot.mag;em.IR.J', 'phot.mag;em.IR.H', 'phot.mag;em.IR.K', 'pos.parallax', 'pos.parallax.trig', 'src.spType', 'phys.abund.Fe']","""Saturn"" telescope and SDSS binary candidates",,,http://alasky.unistra.fr/footprints/tables/vizier/J_PAZh_44_124_sasdssbc/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FPAZh%2F44%2F124%2Fsasdssbc&,catalog,,,,0.0,ivo://CDS,,2018AstL...44..103K,,147.41455078125,2018-03-06T17:08:43Z,,,,,sasdssbc,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/PAZh/44/124,9.0,smoc,J/PAZh/44/124/sasdssbc,31.169936672973105,1.788e-07,11.0,,,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FPAZh%2F44%2F124%2Fsasdssbc&,,1652239356000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/PAZh/44/124,CDS/J/PAZh/44/124/sasdssbc,"['Stars', 'Multiple_Stars']","Binary systems among nearby dwarfs searching (Khovritchev+, 2018) (sasdssbc)",
17,"['phot.mag;arith.diff', 'meta.id', 'time.epoch', 'pos.eq.ra', 'pos.eq.dec', 'phot.mag;em.opt', 'pos.pm;pos.eq.ra', 'pos.pm;pos.eq.dec', 'pos.angDistance', 'pos.posAng', 'stat.fit.param', 'instr.bandpass', 'phot.mag;em.opt.U', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'phot.mag;em.IR.J', 'phot.mag;em.IR.H', 'phot.mag;em.IR.K', 'pos.parallax', 'pos.parallax.trig', 'src.spType', 'phys.abund.Fe']",SDSS binary candidates,,,http://alasky.unistra.fr/footprints/tables/vizier/J_PAZh_44_124_sdss-bc/MOC?nside=2048,,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=J%2FPAZh%2F44%2F124%2Fsdss-bc&,catalog,,,,0.0,ivo://CDS,,2018AstL...44..103K,,33.42041015625,2018-03-06T17:08:43Z,,,,,sdss-bc,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/PAZh/44/124,133.0,smoc,J/PAZh/44/124/sdss-bc,23.969482317759674,2.642e-06,11.0,,,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=J%2FPAZh%2F44%2F124%2Fsdss-bc&,,1652239348000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/PAZh/44/124,CDS/J/PAZh/44/124/sdss-bc,"['Stars', 'Multiple_Stars']","Binary systems among nearby dwarfs searching (Khovritchev+, 2018) (sdss-bc)",
18,"['src.class.starGalaxy', 'src.class', 'meta.id', 'pos.eq.ra', 'pos.eq.dec', 'time.epoch;obs;stat.mean', 'phot.mag;em.opt.U', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'src.redshift', 'phys.veloc.dispersion', 'src.spType', 'em.wl.central;stat.median', 'time.epoch', 'phys.angSize;src', 'pos.angDistance', 'src.ellipticity', 'pos.posAng', 'pos.pm;pos.eq.ra', 'pos.pm;pos.eq.dec', 'stat.fit.residual']",output of the SDSS photometric catalog,11.0,1.0,http://alasky.unistra.fr/footprints/tables/vizier/V_139_sdss9/MOC?nside=2048,equatorial,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=V%2F139%2Fsdss9&,catalog,2016-06-06T07:49Z,,public master unclonable,424.0,ivo://CDS,,2012ApJS..203...21A,SDSS-DR9,45.0,2021-06-02T07:52:21Z,,,"['SDSS-DR9', 'SDSS', 'SDSS9']",https://axel.cds.unistra.fr/HiPSCatService/V/139/sdss9,sdss9,https://cdsarc.u-strasbg.fr/viz-bin/cat/V/139,794013950.0,smoc,V/139/sdss9,0.01865097022296821,0.352,11.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=V%2F139%2Fsdss9&,,1655132465000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/V/139,CDS/V/139/sdss9,"['Photometry:wide-band', 'Redshifts']","The SDSS Photometric Catalog, Release 9 (Adelman-McCarthy+, 2012) (sdss9)",tsv
19,"['src.class', 'meta.id', 'phys.veloc.dispersion', 'src.spType', 'em.wl.central;stat.median', 'src.class.starGalaxy', 'time.epoch', 'phot.mag;em.opt.U', 'phys.angSize;src', 'pos.angDistance', 'src.ellipticity', 'pos.posAng', 'pos.eq.dec', 'phot.mag;em.opt.B', 'phot.mag;em.opt.R', 'phot.mag;em.opt.I', 'src.redshift', 'pos.pm;pos.eq.ra', 'pos.pm;pos.eq.dec', 'stat.fit.residual', 'src.redshift.phot', 'stat.value', 'phys.magAbs', 'time.epoch;obs;stat.mean', 'pos.eq.ra']",output of the SDSS photometric catalog,11.0,1.0,http://alasky.unistra.fr/footprints/tables/vizier/V_147_sdss12/MOC?nside=2048,equatorial,,0.028629053431811713,http://vizier.u-strasbg.fr/viz-bin/VizieR-2?-source=V%2F147%2Fsdss12&,catalog,2018-01-10T09:00Z,,public master unclonable,209.0,ivo://CDS,,2015ApJS..219...12A,SDSS-DR12,45.0,2017-06-21T14:47:02Z,,,"['SDSS-DR12', 'SDSS', 'SDSS12']",https://axel.cds.unistra.fr/HiPSCatService/V/147/sdss12,sdss12,https://cdsarc.u-strasbg.fr/viz-bin/cat/V/147,794013968.0,smoc,V/147/sdss12,0.01865097022296821,0.352,11.0,,Optical,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-source=V%2F147%2Fsdss12&,,1654983721000.0,https://cdsarc.u-strasbg.fr/viz-bin/cat/V/147,CDS/V/147/sdss12,"['Redshifts', 'Photometry:wide-band']","The SDSS Photometric Catalogue, Release 12 (Alam+, 2015) (sdss12)",tsv
